#   nm   Flux(mW/m2/cm) for star #67
   342.5   0.000282
   347.5   0.000273
   352.5   0.000281
   357.5   0.000280
   362.5   0.000278
   367.5   0.000292
   372.5   0.000303
   377.5   0.000358
   382.5   0.000457
   387.5   0.000557
   392.5   0.000563
   397.5   0.000637
   402.5   0.000755
   407.5   0.000633
   412.5   0.000663
   417.5   0.000722
   422.5   0.000717
   427.5   0.000673
   432.5   0.000522
   437.5   0.000639
   442.5   0.000651
   447.5   0.000654
   452.5   0.000628
   457.5   0.000620
   462.5   0.000610
   467.5   0.000596
   472.5   0.000576
   477.5   0.000550
   482.5   0.000481
   487.5   0.000447
   492.5   0.000518
   497.5   0.000510
   502.5   0.000499
   507.5   0.000492
   512.5   0.000475
   517.5   0.000456
   522.5   0.000443
   527.5   0.000442
   532.5   0.000438
   537.5   0.000427
   542.5   0.000422
   547.5   0.000416
   552.5   0.000408
   557.5   0.000397
   562.5   0.000392
   567.5   0.000383
   572.5   0.000374
   577.5   0.000366
   582.5   0.000358
   587.5   0.000346
   592.5   0.000339
   597.5   0.000334
   602.5   0.000324
   607.5   0.000317
   612.5   0.000311
   617.5   0.000306
   622.5   0.000309
   627.5   0.000298
   632.5   0.000299
   637.5   0.000294
   642.5   0.000284
   647.5   0.000276
   652.5   0.000252
   657.5   0.000237
   662.5   0.000263
   667.5   0.000265
   672.5   0.000264
   677.5   0.000255
   682.5   0.000247
   687.5   0.000242
   692.5   0.000237
   697.5   0.000231
   702.5   0.000225
   707.5   0.000222
   712.5   0.000221
   717.5   0.000217
   722.5   0.000207
   727.5   0.000204
   732.5   0.000197
   737.5   0.000186
   742.5   0.000186
   747.5   0.000191
   752.5   0.000181

