#   nm   Flux(mW/m2/cm) for star #47
   342.5   0.000355
   347.5   0.000352
   352.5   0.000360
   357.5   0.000355
   362.5   0.000350
   367.5   0.000368
   372.5   0.000389
   377.5   0.000461
   382.5   0.000555
   387.5   0.000632
   392.5   0.000646
   397.5   0.000686
   402.5   0.000793
   407.5   0.000736
   412.5   0.000739
   417.5   0.000792
   422.5   0.000785
   427.5   0.000745
   432.5   0.000603
   437.5   0.000676
   442.5   0.000721
   447.5   0.000711
   452.5   0.000710
   457.5   0.000686
   462.5   0.000690
   467.5   0.000672
   472.5   0.000653
   477.5   0.000631
   482.5   0.000566
   487.5   0.000508
   492.5   0.000572
   497.5   0.000580
   502.5   0.000568
   507.5   0.000562
   512.5   0.000550
   517.5   0.000530
   522.5   0.000526
   527.5   0.000515
   532.5   0.000508
   537.5   0.000503
   542.5   0.000492
   547.5   0.000488
   552.5   0.000477
   557.5   0.000472
   562.5   0.000462
   567.5   0.000450
   572.5   0.000444
   577.5   0.000436
   582.5   0.000430
   587.5   0.000419
   592.5   0.000407
   597.5   0.000402
   602.5   0.000394
   607.5   0.000383
   612.5   0.000374
   617.5   0.000368
   622.5   0.000363
   627.5   0.000354
   632.5   0.000346
   637.5   0.000345
   642.5   0.000338
   647.5   0.000330
   652.5   0.000320
   657.5   0.000278
   662.5   0.000310
   667.5   0.000306
   672.5   0.000301
   677.5   0.000296
   682.5   0.000285
   687.5   0.000279
   692.5   0.000278
   697.5   0.000272
   702.5   0.000268
   707.5   0.000260
   712.5   0.000252
   717.5   0.000245
   722.5   0.000244
   727.5   0.000234
   732.5   0.000230
   737.5   0.000227
   742.5   0.000228
   747.5   0.000225
   752.5   0.000222

