#   nm   Flux(mW/m2/cm) for star #54
   342.5   0.000305
   347.5   0.000305
   352.5   0.000308
   357.5   0.000316
   362.5   0.000314
   367.5   0.000300
   372.5   0.000311
   377.5   0.000399
   382.5   0.000539
   387.5   0.000639
   392.5   0.000647
   397.5   0.000669
   402.5   0.000778
   407.5   0.000646
   412.5   0.000683
   417.5   0.000753
   422.5   0.000736
   427.5   0.000727
   432.5   0.000526
   437.5   0.000636
   442.5   0.000648
   447.5   0.000618
   452.5   0.000610
   457.5   0.000590
   462.5   0.000570
   467.5   0.000553
   472.5   0.000531
   477.5   0.000504
   482.5   0.000439
   487.5   0.000399
   492.5   0.000473
   497.5   0.000463
   502.5   0.000448
   507.5   0.000429
   512.5   0.000420
   517.5   0.000412
   522.5   0.000403
   527.5   0.000384
   532.5   0.000379
   537.5   0.000376
   542.5   0.000363
   547.5   0.000348
   552.5   0.000341
   557.5   0.000334
   562.5   0.000327
   567.5   0.000318
   572.5   0.000314
   577.5   0.000299
   582.5   0.000293
   587.5   0.000282
   592.5   0.000272
   597.5   0.000267
   602.5   0.000261
   607.5   0.000256
   612.5   0.000254
   617.5   0.000239
   622.5   0.000233
   627.5   0.000229
   632.5   0.000223
   637.5   0.000222
   642.5   0.000214
   647.5   0.000209
   652.5   0.000186
   657.5   0.000166
   662.5   0.000197
   667.5   0.000193
   672.5   0.000191
   677.5   0.000187
   682.5   0.000180
   687.5   0.000178
   692.5   0.000174
   697.5   0.000170
   702.5   0.000170
   707.5   0.000168
   712.5   0.000163
   717.5   0.000157
   722.5   0.000159
   727.5   0.000156
   732.5   0.000145
   737.5   0.000154
   742.5   0.000149
   747.5   0.000143
   752.5   0.000129

