#   nm   Flux(mW/m2/cm) for star #19
   342.5   0.000372
   347.5   0.000386
   352.5   0.000376
   357.5   0.000383
   362.5   0.000399
   367.5   0.000410
   372.5   0.000436
   377.5   0.000516
   382.5   0.000650
   387.5   0.000724
   392.5   0.000683
   397.5   0.000745
   402.5   0.000926
   407.5   0.000835
   412.5   0.000863
   417.5   0.000917
   422.5   0.000920
   427.5   0.000873
   432.5   0.000723
   437.5   0.000834
   442.5   0.000853
   447.5   0.000845
   452.5   0.000846
   457.5   0.000828
   462.5   0.000820
   467.5   0.000803
   472.5   0.000793
   477.5   0.000778
   482.5   0.000713
   487.5   0.000650
   492.5   0.000718
   497.5   0.000698
   502.5   0.000685
   507.5   0.000682
   512.5   0.000663
   517.5   0.000640
   522.5   0.000626
   527.5   0.000618
   532.5   0.000603
   537.5   0.000611
   542.5   0.000590
   547.5   0.000581
   552.5   0.000575
   557.5   0.000566
   562.5   0.000549
   567.5   0.000535
   572.5   0.000537
   577.5   0.000532
   582.5   0.000522
   587.5   0.000505
   592.5   0.000499
   597.5   0.000485
   602.5   0.000475
   607.5   0.000462
   612.5   0.000448
   617.5   0.000441
   622.5   0.000428
   627.5   0.000424
   632.5   0.000413
   637.5   0.000401
   642.5   0.000396
   647.5   0.000395
   652.5   0.000370
   657.5   0.000333
   662.5   0.000378
   667.5   0.000374
   672.5   0.000366
   677.5   0.000359
   682.5   0.000358
   687.5   0.000348
   692.5   0.000335
   697.5   0.000333
   702.5   0.000333
   707.5   0.000327
   712.5   0.000325
   717.5   0.000317
   722.5   0.000308
   727.5   0.000304
   732.5   0.000303
   737.5   0.000290
   742.5   0.000292
   747.5   0.000289
   752.5   0.000290

