#   nm   Flux(mW/m2/cm) for star #57
   342.5   0.000401
   347.5   0.000401
   352.5   0.000408
   357.5   0.000406
   362.5   0.000417
   367.5   0.000449
   372.5   0.000428
   377.5   0.000440
   382.5   0.000464
   387.5   0.000481
   392.5   0.000478
   397.5   0.000588
   402.5   0.000709
   407.5   0.000703
   412.5   0.000726
   417.5   0.000728
   422.5   0.000721
   427.5   0.000657
   432.5   0.000677
   437.5   0.000718
   442.5   0.000752
   447.5   0.000786
   452.5   0.000761
   457.5   0.000769
   462.5   0.000770
   467.5   0.000742
   472.5   0.000753
   477.5   0.000744
   482.5   0.000710
   487.5   0.000689
   492.5   0.000722
   497.5   0.000706
   502.5   0.000699
   507.5   0.000691
   512.5   0.000668
   517.5   0.000667
   522.5   0.000666
   527.5   0.000678
   532.5   0.000677
   537.5   0.000667
   542.5   0.000663
   547.5   0.000651
   552.5   0.000654
   557.5   0.000636
   562.5   0.000630
   567.5   0.000625
   572.5   0.000625
   577.5   0.000620
   582.5   0.000616
   587.5   0.000600
   592.5   0.000596
   597.5   0.000587
   602.5   0.000579
   607.5   0.000569
   612.5   0.000560
   617.5   0.000551
   622.5   0.000536
   627.5   0.000530
   632.5   0.000531
   637.5   0.000530
   642.5   0.000527
   647.5   0.000516
   652.5   0.000493
   657.5   0.000500
   662.5   0.000503
   667.5   0.000502
   672.5   0.000500
   677.5   0.000493
   682.5   0.000479
   687.5   0.000467
   692.5   0.000468
   697.5   0.000459
   702.5   0.000451
   707.5   0.000448
   712.5   0.000441
   717.5   0.000431
   722.5   0.000426
   727.5   0.000422
   732.5   0.000407
   737.5   0.000400
   742.5   0.000401
   747.5   0.000396
   752.5   0.000390

