#   nm   Flux(mW/m2/cm) for star #30
   342.5   0.000614
   347.5   0.000595
   352.5   0.000591
   357.5   0.000577
   362.5   0.000575
   367.5   0.000583
   372.5   0.000465
   377.5   0.000806
   382.5   0.000964
   387.5   0.001108
   392.5   0.001081
   397.5   0.001112
   402.5   0.001189
   407.5   0.001015
   412.5   0.001012
   417.5   0.001045
   422.5   0.001015
   427.5   0.000962
   432.5   0.000780
   437.5   0.000867
   442.5   0.000865
   447.5   0.000845
   452.5   0.000816
   457.5   0.000783
   462.5   0.000759
   467.5   0.000733
   472.5   0.000706
   477.5   0.000674
   482.5   0.000608
   487.5   0.000563
   492.5   0.000613
   497.5   0.000598
   502.5   0.000580
   507.5   0.000561
   512.5   0.000542
   517.5   0.000523
   522.5   0.000506
   527.5   0.000497
   532.5   0.000483
   537.5   0.000468
   542.5   0.000457
   547.5   0.000444
   552.5   0.000428
   557.5   0.000419
   562.5   0.000409
   567.5   0.000398
   572.5   0.000389
   577.5   0.000377
   582.5   0.000360
   587.5   0.000349
   592.5   0.000339
   597.5   0.000328
   602.5   0.000317
   607.5   0.000310
   612.5   0.000305
   617.5   0.000296
   622.5   0.000288
   627.5   0.000282
   632.5   0.000278
   637.5   0.000274
   642.5   0.000266
   647.5   0.000261
   652.5   0.000243
   657.5   0.000227
   662.5   0.000242
   667.5   0.000235
   672.5   0.000231
   677.5   0.000225
   682.5   0.000220
   687.5   0.000212
   692.5   0.000210
   697.5   0.000206
   702.5   0.000200
   707.5   0.000194
   712.5   0.000190
   717.5   0.000184
   722.5   0.000179
   727.5   0.000174
   732.5   0.000170
   737.5   0.000166
   742.5   0.000164
   747.5   0.000157
   752.5   0.000156

