#   nm   Flux(mW/m2/cm) for star #33
   342.5   0.000127
   347.5   0.000127
   352.5   0.000133
   357.5   0.000132
   362.5   0.000139
   367.5   0.000154
   372.5   0.000155
   377.5   0.000157
   382.5   0.000166
   387.5   0.000176
   392.5   0.000172
   397.5   0.000200
   402.5   0.000262
   407.5   0.000264
   412.5   0.000272
   417.5   0.000273
   422.5   0.000270
   427.5   0.000249
   432.5   0.000248
   437.5   0.000268
   442.5   0.000280
   447.5   0.000291
   452.5   0.000292
   457.5   0.000292
   462.5   0.000295
   467.5   0.000287
   472.5   0.000289
   477.5   0.000292
   482.5   0.000283
   487.5   0.000271
   492.5   0.000281
   497.5   0.000278
   502.5   0.000276
   507.5   0.000277
   512.5   0.000271
   517.5   0.000264
   522.5   0.000265
   527.5   0.000267
   532.5   0.000271
   537.5   0.000269
   542.5   0.000266
   547.5   0.000269
   552.5   0.000263
   557.5   0.000257
   562.5   0.000257
   567.5   0.000254
   572.5   0.000252
   577.5   0.000253
   582.5   0.000252
   587.5   0.000248
   592.5   0.000244
   597.5   0.000240
   602.5   0.000237
   607.5   0.000232
   612.5   0.000225
   617.5   0.000223
   622.5   0.000226
   627.5   0.000227
   632.5   0.000222
   637.5   0.000222
   642.5   0.000220
   647.5   0.000214
   652.5   0.000217
   657.5   0.000202
   662.5   0.000209
   667.5   0.000211
   672.5   0.000213
   677.5   0.000211
   682.5   0.000209
   687.5   0.000204
   692.5   0.000199
   697.5   0.000199
   702.5   0.000197
   707.5   0.000196
   712.5   0.000192
   717.5   0.000188
   722.5   0.000183
   727.5   0.000181
   732.5   0.000179
   737.5   0.000175
   742.5   0.000176
   747.5   0.000175
   752.5   0.000173

